alpha,beta,gamma,instability_loss,sus_score,metabolics,tlx_score,nrs_score
95.0,125.0,0.0,0.0183,75.0,6.27670288396925,16.666666666666664,0.0
80.0,110.0,0.0,0.0059,87.5,6.484307784719218,15.833333333333332,0.0
95.0,110.0,0.0,0.0416,79.16666666666666,7.334031329076649,15.0,0.0
110.0,110.0,0.0,0.0245,83.33333333333334,6.91903717962958,18.333333333333332,0.0
80.0,125.0,0.0,0.0082,87.5,7.278968238369773,20.833333333333336,0.0
110.0,125.0,0.0,0.0203,79.16666666666666,7.0392531447096465,20.833333333333336,0.0
80.0,140.0,0.0,0.0099,87.5,6.8910042351368235,16.666666666666664,0.0
95.0,140.0,0.0,0.0084,79.16666666666666,6.585330409298112,16.666666666666664,0.0
110.0,140.0,0.0,0.0034,87.5,6.876883553749727,13.333333333333334,0.0
80.0,110.0,9.0,0.0275,66.66666666666666,5.869407911303001,26.666666666666668,2.0
110.0,110.0,9.0,0.0172,75.0,6.701832245205307,22.5,2.0
80.0,125.0,9.0,0.0131,75.0,6.026908799495066,18.333333333333332,2.0
110.0,125.0,9.0,0.0071,83.33333333333334,6.303854544768048,17.5,1.0
80.0,140.0,9.0,0.0138,83.33333333333334,6.252452494298917,19.166666666666668,1.0
110.0,140.0,9.0,0.021,75.0,6.372740958666919,18.333333333333332,0.0
