trial_id,participant_id,steps,step_count,step_variance,timestamp,alpha,beta,gamma,delta
1,2,"[0.6200000000000006, 1.120000000000001, 1.7400000000000015, 2.280000000000002]",,,2025-10-03 14:48:20,85.0,95.0,9.0,0.0
2,2,"[0.889999999999981, 1.6999999999999638, 2.489999999999947, 3.28499999999993, 4.004999999999915, 4.4799999999999045, 5.274999999999888, 6.0299999999998715, 6.834999999999854, 7.589999999999838, 8.299999999999823, 9.129999999999805, 9.90499999999979, 10.654999999999774, 11.434999999999757, 11.844999999999748, 12.20499999999974, 12.984999999999724, 13.754999999999708, 14.654999999999688, 15.444999999999672, 16.299999999999653, 17.189999999999635, 18.124999999999613, 18.984999999999594, 19.764999999999578, 20.554999999999563, 21.299999999999546, 22.03499999999953, 22.769999999999516, 23.579999999999497, 24.35499999999948, 25.209999999999464, 26.094999999999445, 26.859999999999427, 27.70499999999941, 28.50499999999939, 29.24999999999938, 30.084999999999358, 30.914999999999342, 31.659999999999325, 32.46999999999931, 33.219999999999295, 34.00499999999928, 34.86999999999926, 35.64999999999924, 36.499999999999226, 37.24499999999921, 38.12499999999919, 38.87999999999917, 39.64999999999915, 40.41999999999914, 41.15999999999912, 41.874999999999105, 42.58499999999909, 43.33999999999908, 44.04999999999906, 44.769999999999044, 45.61499999999903, 46.38499999999901, 47.139999999999, 47.95999999999898, 49.39999999999895, 50.22499999999893, 50.96999999999891, 51.7049999999989, 52.359999999998884, 53.224999999998865, 54.02999999999885, 54.75999999999883, 55.50999999999882, 56.2549999999988, 56.999999999998785, 57.46999999999878, 57.77499999999877, 58.76499999999875, 59.55999999999873, 60.29999999999872]",78.0,0.018245,2025-10-03 17:53:41,95.0,95.0,0.0,0.0
3,2,"[0.889999999999981, 1.6999999999999638, 2.489999999999947, 3.28499999999993, 4.004999999999915, 4.4799999999999045, 5.274999999999888, 6.0299999999998715, 6.834999999999854, 7.589999999999838, 8.299999999999823, 9.129999999999805, 9.90499999999979, 10.654999999999774, 11.434999999999757, 11.844999999999748, 12.20499999999974, 12.984999999999724, 13.754999999999708, 14.654999999999688, 15.444999999999672, 16.299999999999653, 17.189999999999635, 18.124999999999613, 18.984999999999594, 19.764999999999578, 20.554999999999563, 21.299999999999546, 22.03499999999953, 22.769999999999516, 23.579999999999497, 24.35499999999948, 25.209999999999464, 26.094999999999445, 26.859999999999427, 27.70499999999941, 28.50499999999939, 29.24999999999938, 30.084999999999358, 30.914999999999342, 31.659999999999325, 32.46999999999931, 33.219999999999295, 34.00499999999928, 34.86999999999926, 35.64999999999924, 36.499999999999226, 37.24499999999921, 38.12499999999919, 38.87999999999917, 39.64999999999915, 40.41999999999914, 41.15999999999912, 41.874999999999105, 42.58499999999909, 43.33999999999908, 44.04999999999906, 44.769999999999044, 45.61499999999903, 46.38499999999901, 47.139999999999, 47.95999999999898, 49.39999999999895, 50.22499999999893, 50.96999999999891, 51.7049999999989, 52.359999999998884, 53.224999999998865, 54.02999999999885, 54.75999999999883, 55.50999999999882, 56.2549999999988, 56.999999999998785, 57.46999999999878, 57.77499999999877, 58.76499999999875, 59.55999999999873, 60.29999999999872]",78.0,0.018245,2025-10-03 17:57:24,85.0,95.0,-9.0,0.0
4,2,"[4.044999999999914, 4.459999999999905, 6.334999999999865, 6.8249999999998545, 8.119999999999827, 8.589999999999817, 9.039999999999807, 9.489999999999798, 9.939999999999788, 10.79499999999977, 11.27499999999976, 12.164999999999742, 12.62999999999973, 13.504999999999713, 13.979999999999702, 14.794999999999686]",16.0,0.156962,2025-10-07 12:32:40,105.0,95.0,-9.0,0.0
5,3,"[2.4249999999999483, 3.1249999999999334, 3.9049999999999168, 4.609999999999902, 5.319999999999887, 6.049999999999871, 6.749999999999856, 7.50999999999984, 8.264999999999825, 9.039999999999807, 9.759999999999792, 10.539999999999775, 11.28499999999976, 12.059999999999743, 12.769999999999728, 13.509999999999712, 14.259999999999696, 14.97999999999968, 15.694999999999666, 16.42999999999965, 17.214999999999634, 17.999999999999616, 18.7799999999996, 19.564999999999582, 20.319999999999567, 21.07499999999955, 21.819999999999535, 22.59499999999952, 23.309999999999505, 24.08999999999949, 24.88999999999947, 25.644999999999452, 26.344999999999438, 27.10499999999942, 27.944999999999403, 28.704999999999387, 29.53999999999937, 30.334999999999354, 31.154999999999337, 31.93499999999932, 32.684999999999306, 33.42499999999929, 34.18999999999927, 34.989999999999256, 35.69999999999924, 36.399999999999224, 37.154999999999205, 37.94499999999919, 38.72999999999917, 39.53999999999916, 40.34499999999914, 41.054999999999126, 41.85499999999911, 42.63999999999909, 43.43499999999907, 44.18999999999906, 44.93499999999904, 45.744999999999024, 46.50499999999901, 47.284999999998995, 48.03499999999897, 48.97499999999896, 49.794999999998936, 50.55499999999892, 51.389999999998906, 52.18999999999889, 52.96999999999887, 53.759999999998854, 54.51999999999884, 55.299999999998825, 56.1049999999988, 56.89999999999879, 57.71999999999877, 58.484999999998756, 59.24499999999874, 60.13499999999872]",76.0,0.001828,2025-10-07 13:51:45,95.0,95.0,0.0,0.0
6,3,"[3.854999999999918, 4.739999999999899, 5.489999999999883, 6.229999999999867, 6.984999999999851, 7.704999999999836, 8.50499999999982, 9.284999999999803, 10.159999999999783, 10.984999999999767, 11.769999999999749, 12.64999999999973, 13.439999999999714, 14.254999999999697, 15.09499999999968, 15.90999999999966, 16.729999999999645, 17.544999999999625, 18.37499999999961, 19.26999999999959, 20.17499999999957, 21.07499999999955, 21.909999999999535, 22.744999999999514, 23.5749999999995, 24.44999999999948, 25.269999999999463, 26.099999999999444, 26.909999999999428, 27.724999999999408, 28.59499999999939, 29.429999999999374, 30.294999999999355, 31.159999999999336, 32.01499999999932, 32.914999999999296, 33.97499999999928, 34.85499999999926, 35.69499999999924, 36.539999999999225, 37.4099999999992, 38.26499999999918, 38.649999999999174, 39.254999999999164, 40.15499999999914, 41.04999999999912, 41.92499999999911, 42.794999999999085, 43.63499999999907, 44.539999999999054, 45.404999999999035, 46.28999999999901, 47.174999999998995, 48.079999999998975, 48.94999999999896, 49.82999999999894, 50.72999999999892, 51.5449999999989, 52.374999999998884, 53.25999999999887, 54.20999999999884, 55.214999999998824, 56.05999999999881, 56.89999999999879, 57.70999999999877, 58.52999999999875, 59.334999999998736, 60.18999999999872, 61.034999999998696]",69.0,0.006829,2025-10-07 13:58:26,85.0,95.0,0.0,0.0
7,3,"[2.7899999999999405, 3.4949999999999255, 4.20999999999991, 4.989999999999894, 5.6549999999998795, 6.3549999999998645, 7.03999999999985, 7.684999999999836, 8.389999999999821, 9.054999999999808, 9.769999999999792, 10.544999999999776, 11.33499999999976, 12.15999999999974, 12.929999999999724, 13.669999999999709, 14.404999999999694, 15.189999999999676, 15.98499999999966, 16.724999999999643, 17.46999999999963, 18.24499999999961, 18.969999999999597, 19.72499999999958, 20.429999999999566, 21.23499999999955, 21.994999999999532, 22.844999999999512, 23.639999999999496, 24.37499999999948, 25.094999999999466, 25.80499999999945, 26.534999999999435, 27.27499999999942, 28.034999999999403, 28.804999999999385, 29.549999999999372, 30.329999999999355, 30.96499999999934, 31.82499999999932, 32.5549999999993, 33.37499999999929, 34.164999999999274, 34.90999999999926, 35.79999999999924, 36.58999999999922, 37.3949999999992, 38.184999999999185, 38.96499999999917, 39.68999999999915, 40.53499999999914, 41.34999999999912, 42.124999999999105, 42.944999999999084, 43.794999999999064, 44.59499999999905, 45.50999999999903, 46.38999999999901, 47.50499999999899, 48.28499999999897, 49.14499999999895, 49.94999999999894, 50.769999999998916, 51.5749999999989, 52.44999999999888, 53.23499999999886, 54.074999999998845, 54.86999999999883, 55.63499999999881, 56.434999999998794, 57.22999999999878, 58.029999999998765, 58.84499999999875, 59.64499999999873, 60.56499999999871]",75.0,0.004956,2025-10-07 14:18:01,85.0,125.0,0.0,0.0
8,3,"[2.399999999999949, 3.189999999999932, 3.9549999999999157, 4.719999999999899, 5.434999999999884, 6.164999999999869, 6.909999999999853, 7.674999999999836, 8.40999999999982, 9.199999999999804, 9.969999999999787, 10.80999999999977, 11.659999999999751, 12.449999999999735, 13.20499999999972, 13.894999999999705, 14.669999999999687, 15.51999999999967, 16.289999999999655, 17.159999999999634, 18.024999999999615, 18.924999999999596, 19.689999999999582, 20.499999999999563, 21.314999999999547, 22.294999999999526, 23.064999999999507, 23.93999999999949, 24.809999999999473, 25.639999999999453, 26.479999999999436, 27.319999999999418, 28.1249999999994, 28.944999999999382, 29.759999999999366, 30.624999999999346, 31.52999999999933, 32.39499999999931, 33.22999999999929, 34.109999999999275, 35.01999999999926, 35.879999999999235, 36.71999999999922, 37.5049999999992, 38.309999999999185, 39.27499999999916, 40.149999999999146, 41.01999999999913, 41.84499999999911, 42.67999999999909, 43.54499999999907, 44.46499999999905, 45.28499999999904, 46.184999999999015, 46.994999999998996, 47.79499999999898, 48.64999999999896, 49.70499999999894, 50.55999999999892, 51.15999999999891, 51.6499999999989, 52.65999999999888, 53.60499999999886, 54.474999999998836, 55.35499999999882, 56.2899999999988, 57.084999999998786, 58.15999999999876, 58.57499999999875, 59.21499999999874, 60.02999999999872, 60.49499999999871]",72.0,0.012243,2025-10-07 14:24:07,105.0,125.0,0.0,0.0
9,3,"[1.9149999999999592, 2.6549999999999434, 3.369999999999928, 4.089999999999913, 4.834999999999897, 5.544999999999882, 6.234999999999867, 6.929999999999852, 7.589999999999838, 8.304999999999824, 9.124999999999806, 9.979999999999787, 10.744999999999772, 11.504999999999756, 12.289999999999738, 13.029999999999722, 13.784999999999707, 14.56499999999969, 15.284999999999675, 15.99499999999966, 16.87999999999964, 17.674999999999624, 18.434999999999608, 19.19999999999959, 20.049999999999574, 20.884999999999554, 21.55499999999954, 22.254999999999526, 22.99999999999951, 23.744999999999493, 24.614999999999476, 25.39499999999946, 26.139999999999443, 26.934999999999427, 27.75999999999941, 28.60499999999939, 29.014999999999382, 29.419999999999373, 29.804999999999364, 30.719999999999345, 31.55499999999933, 32.31499999999931, 33.1249999999993, 33.89499999999928, 34.74999999999926, 35.549999999999244, 36.29999999999923, 37.08499999999921, 37.90499999999919, 38.759999999999174, 39.70499999999915, 40.66499999999913, 41.64999999999911, 42.43499999999909, 43.20499999999908, 44.02499999999906, 44.884999999999046, 45.704999999999025, 46.55999999999901, 47.39499999999899, 48.229999999998974, 49.069999999998956, 49.90999999999894, 50.74999999999892, 51.6699999999989, 52.57499999999888, 53.46499999999886, 54.34999999999884, 55.204999999998826, 56.0749999999988, 56.93499999999879, 57.90999999999877, 58.754999999998745, 59.704999999998726, 60.62499999999871]",75.0,0.011958,2025-10-07 14:30:17,105.0,95.0,0.0,0.0
10,3,"[2.2199999999999527, 3.1249999999999334, 3.854999999999918, 4.529999999999903, 5.16499999999989, 5.789999999999877, 6.414999999999863, 7.064999999999849, 7.739999999999835, 8.44999999999982, 9.169999999999805, 9.86999999999979, 10.514999999999777, 11.32499999999976, 11.989999999999744, 12.654999999999731, 13.344999999999716, 13.999999999999702, 14.724999999999687, 15.46999999999967, 16.204999999999654, 16.92499999999964, 17.679999999999623, 18.464999999999606, 19.25999999999959, 20.009999999999575, 20.704999999999558, 21.424999999999542, 22.139999999999528, 22.829999999999515, 23.624999999999496, 24.30499999999948, 25.059999999999466, 25.76499999999945, 26.484999999999435, 27.24999999999942, 28.0249999999994, 28.779999999999387, 29.55999999999937, 30.354999999999354, 31.129999999999338, 31.854999999999322, 32.6099999999993, 33.29499999999929, 34.024999999999274, 34.77499999999926, 35.524999999999245, 36.29499999999923, 37.07499999999921, 37.82499999999919, 38.53499999999918, 39.284999999999165, 40.05999999999915, 40.74499999999913, 41.53999999999912, 42.439999999999095, 43.274999999999075, 44.06999999999906, 44.80999999999904, 45.65499999999903, 46.36999999999901, 47.069999999999, 47.85499999999898, 48.30499999999897, 48.984999999998955, 49.889999999998935, 50.63499999999892, 51.3949999999989, 52.18999999999889, 53.08999999999887, 53.86499999999885, 54.61999999999884, 55.40499999999882, 56.1999999999988, 57.00999999999878, 57.809999999998766, 58.61499999999875, 59.43499999999873, 60.24499999999872]",79.0,0.004975,2025-10-07 14:44:39,105.0,95.0,9.0,0.0
