relative_time_ms,force,accX,accY
0,-1.40414559841156,-38.236671447753906,-9.566046714782715
5,-1.40414559841156,-38.11732482910156,-9.581331253051758
10,-1.40414559841156,-37.99246597290039,-9.584362030029297
15,-1.40414559841156,-37.88373565673828,-9.613104820251465
20,-1.40414559841156,-37.81085968017578,-9.606595993041992
25,-1.40414559841156,-37.766361236572266,-9.63450813293457
30,-1.40414559841156,-37.75910186767578,-9.643110275268555
35,-1.40414559841156,-37.767906188964844,-9.634581565856934
40,-1.40414559841156,-37.752906799316406,-9.594710350036621
45,-1.40414559841156,-37.68819046020508,-9.569535255432129
50,-1.40414559841156,-37.571441650390625,-9.525467872619629
55,-1.40414559841156,-37.426361083984375,-9.445955276489258
60,-1.40414559841156,-37.265289306640625,-9.371313095092773
65,-1.40414559841156,-37.08692169189453,-9.350619316101074
70,-1.40414559841156,-36.883304595947266,-9.338367462158203
75,-1.40414559841156,-36.66745376586914,-9.347182273864746
80,-1.40414559841156,-36.42546463012695,-9.358041763305664
85,-1.40414559841156,-36.1627311706543,-9.415372848510742
90,-1.40414559841156,-35.927452087402344,-9.474882125854492
95,-1.40414559841156,-35.6939697265625,-9.44775390625
100,-1.40414559841156,-35.41583251953125,-9.470030784606934
105,-1.40414559841156,-35.12736129760742,-9.521663665771484
110,-1.40414559841156,-34.861820220947266,-9.524415016174316
115,-1.40414559841156,-34.59686279296875,-9.488442420959473
120,-1.40414559841156,-34.32337951660156,-9.467193603515625
125,-1.40414559841156,-34.05518341064453,-9.4905366897583
130,-1.40414559841156,-33.77385711669922,-9.501818656921387
135,-1.40414559841156,-33.44562911987305,-9.473837852478027
140,-1.40414559841156,-33.08710861206055,-9.419878959655762
145,-1.40414559841156,-32.7263069152832,-9.3846435546875
150,-1.40414559841156,-32.366905212402344,-9.361278533935547
155,-1.40414559841156,-31.985301971435547,-9.301721572875977
160,-1.40414559841156,-31.566614151000977,-9.26008415222168
165,-1.40414559841156,-31.12368392944336,-9.25446605682373
170,-1.40414559841156,-30.65572738647461,-9.253046989440918
175,-1.40414559841156,-30.183244705200195,-9.248076438903809
180,-1.40414559841156,-29.71291732788086,-9.270964622497559
185,-1.40414559841156,-29.234914779663086,-9.303389549255371
190,-1.40414559841156,-28.758115768432617,-9.343461036682129
195,-1.40414559841156,-28.289505004882812,-9.335613250732422
200,-1.40414559841156,-27.84388542175293,-9.288703918457031
205,-1.40414559841156,-27.40549659729004,-9.213211059570312
210,-1.40414559841156,-26.965482711791992,-9.17482852935791
215,-1.40414559841156,-26.52210235595703,-9.150406837463379
220,-1.40414559841156,-26.055940628051758,-9.146408081054688
225,-1.40414559841156,-25.57993507385254,-9.162755012512207
230,-1.40414559841156,-25.099380493164062,-9.159675598144531
235,-1.40414559841156,-24.639514923095703,-9.209218978881836
240,-1.40414559841156,-24.23224449157715,-9.262266159057617
245,-1.40414559841156,-23.856592178344727,-9.29728889465332
250,-1.40414559841156,-23.470279693603516,-9.350007057189941
255,-1.40414559841156,-23.058774948120117,-9.428625106811523
260,-1.40414559841156,-22.626033782958984,-9.458205223083496
265,-1.40414559841156,-22.188064575195312,-9.460592269897461
270,-1.40414559841156,-21.75625228881836,-9.42353630065918
275,-1.40414559841156,-21.33470344543457,-9.313356399536133
280,-1.40414559841156,-20.9247989654541,-9.226786613464355
285,-1.40414559841156,-20.526586532592773,-9.083534240722656
290,-1.40414559841156,-20.130863189697266,-8.987406730651855
295,-1.40414559841156,-19.748600006103516,-8.935112953186035
300,-1.40414559841156,-19.379924774169922,-8.962347984313965
305,-1.40414559841156,-19.02977180480957,-9.026909828186035
310,-1.40414559841156,-18.706533432006836,-9.090394973754883
315,-1.40414559841156,-18.413965225219727,-9.195355415344238
320,-1.40414559841156,-18.134021759033203,-9.281112670898438
325,-1.40414559841156,-17.858623504638672,-9.353178024291992
330,-1.40414559841156,-17.588970184326172,-9.415377616882324
